states,"Population estimates, July 1, 2019,  (V2019)",Persons under 18 years (%),Persons 65 years and over (%),White (%),Black or African American (%),American Indian and Alaska Native (%),Asian (%),Hispanic or Latino (%),"White, not Hispanic or Latino (%)",Foreign born persons (%),Housing units,Owner-occupied housing unit rate,Median value of owner-occupied housing units,Median gross rent,Households,Persons per household,Households with a computer (%),Households with Internet (%),High school graduate or higher (%),Bachelor's degree or higher (%),Persons without health insurance (%),In civilian labor force (%),"Total health care revenue, 2012 ($1,000)",Median household income (in 2018 dollars),Per capita income in past 12 months (in 2018 dollars),Persons in poverty (%),"Total annual payroll, 2017 ($1,000)",Real GDP in billion USD (2012),State Tax Rate,Vaccination Rate,Obesity Rate,Number of Smoking Adults,Party Affiliation,Number of Nursing Homes,Diabetes Rate 2018,Diabetes Death 2018,New Cancer Rate ,Cancer Case Count,Hospital_bed_per_1000,Cumulative COVID cases (current),SoDA Score
South Dakota,884659,0.247,0.166,0.844,0.024,0.09,0.017,0.041,0.814,0.035,397526,0.681,159100,722,341565,2.43,0.868,0.78,0.917,0.285,0.116,0.681,6211731,56499,29801,0.131,14719422,47.11,0.045,0.798,0.319,0.193,0,107,23.3,252,449.5,4612,4.8,1635,10.1037037
Tennessee,6829174,0.222,0.164,0.785,0.171,0.005,0.019,0.056,0.737,0.05,2992279,0.663,158600,841,2567061,2.53,0.852,0.754,0.87,0.266,0.12,0.609,42383683,50972,28511,0.153,120113689,333.31,0.07,0.867,0.328,0.226,0,317,24.5,2023,455.7,36598,2.9,7070,17.17777778
Texas,28995881,0.258,0.126,0.788,0.128,0.01,0.052,0.396,0.415,0.17,11100779,0.619,161700,998,9553046,2.86,0.892,0.793,0.832,0.293,0.2,0.642,145035130,59570,30143,0.149,544772560,1812.11,0.0625,0.799,0.33,0.157,0,1225,21.1,5991,391.8,109083,2.3,19260,29.07407407
Utah,3205958,0.295,0.111,0.907,0.014,0.015,0.027,0.142,0.78,0.084,1108763,0.699,256700,988,957619,3.13,0.944,0.857,0.92,0.333,0.105,0.679,14521857,68374,28239,0.09,58191764,166.82,0.061,0.795,0.253,0.089,0,101,23.5,629,390.6,10494,1.8,3069,16.87407407
Vermont,623989,0.185,0.194,0.942,0.014,0.004,0.02,0.02,0.925,0.046,337110,0.707,223700,972,259589,2.31,0.889,0.802,0.926,0.373,0.049,0.657,4457996,60076,33238,0.11,11052209,30.7,0.053,0.835,0.276,0.158,1,36,18.2,156,442.4,3681,2.1,813,33.38518519
Virginia,8535519,0.22,0.154,0.695,0.199,0.005,0.069,0.096,0.615,0.123,3538847,0.662,264900,1202,3128415,2.61,0.899,0.82,0.893,0.382,0.102,0.642,47705003,71564,37763,0.107,177105769,489.37,0.06,0.921,0.301,0.164,1,286,22.9,2286,413.3,40322,2.1,8542,22.19259259
Washington,7614893,0.221,0.154,0.789,0.043,0.019,0.093,0.129,0.68,0.14,3148129,0.627,311700,1194,2800423,2.55,0.927,0.865,0.911,0.353,0.075,0.635,43966889,70116,36888,0.103,169766372,537.64,0.06,0.789,0.277,0.135,1,212,20.4,1779,445.1,37378,1.7,12255,25.8962963
West Virginia,1792147,0.202,0.199,0.935,0.036,0.003,0.008,0.017,0.921,0.016,893778,0.729,115000,711,734676,2.42,0.818,0.729,0.865,0.203,0.079,0.531,12259395,44921,25479,0.178,22287060,72.26,0.065,0.818,0.381,0.26,0,124,36.2,927,472,11698,3.8,890,18.5037037
Wisconsin,5822434,0.22,0.17,0.871,0.067,0.012,0.03,0.069,0.811,0.05,2710723,0.669,173600,837,2343129,2.4,0.88,0.804,0.919,0.295,0.065,0.666,40680625,59209,32018,0.11,121061234,307.88,0.05,0.807,0.32,0.16,0,364,20.2,1508,458.6,32688,2.1,4346,18.13333333
Wyoming,578759,0.233,0.165,0.926,0.013,0.027,0.011,0.101,0.838,0.035,278595,0.694,213300,843,230630,2.46,0.908,0.811,0.929,0.269,0.125,0.664,3291478,62268,32295,0.111,9436110,39.47,0.04,0.769,0.288,0.187,0,38,21.4,145,402.3,2775,3.5,313,13.35555556
